taxon_name,eco_group
Alisma t.,AQUA
Alisma-type,AQUA
Alismataceae,AQUA
Alkanna,HERB
Alkanna-type,HERB
Allium ursinum T,HERB
Allium ursinum type,HERB
Allium ursinum-type,HERB
Allium,HERB
Allium type,HERB
Allium-type,HERB
ALNUS,TRSH
ALNUS indiff.,TRSH
Alnus,TRSH
Alnus undiff.,TRSH
Alnus undifferentiated,TRSH
Alnus-type,TRSH
Alnus5p,TRSH
Anus,TRSH
ALNUS  incana,TRSH
Alnus cf. A. incana,TRSH
Alnus glutinosa,TRSH
Alnus glutinosa T,TRSH
Alnus glutinosa-type,TRSH
Alnus glutinosa/A. incana,TRSH
Alnus incana,TRSH
Alnus incana subsp. hirsuta,TRSH
Alnus incana/A. glutinosa,TRSH
Alnus incana/cordata-type,TRSH
Alnus non-viridis,TRSH
ALNUS viridis,TRSH
Alnaster,TRSH
"Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)",TRSH
Alnus fruticosa,TRSH
Alnus fruticosa-type,TRSH
Alnus viridis,TRSH
Alnus viridis subsp. crispa,TRSH
Alnus viridis subsp. crispa-type,TRSH
Alnus viridis subsp. fruticosa,TRSH
Alnus viridis subsp. fruticosa-type,TRSH
Duschekia,TRSH
Duschekia fruticosa= Alnus fruticosa-type,TRSH
Alternaria,FUNG
Amblys-eae,MOSS
Ambrosia,HERB
Ambrosia artemisiifolia-type,HERB
Ambrosia t.,HERB
Ambrosia-type,HERB
AMBROSIA type,HERB
Ambrosia type,HERB
Ambrosia type: Xanthium,HERB
Ambrosia-type,HERB
Xanthium,HERB
Xanthium-type,HERB
Xanthium/Ambrosia,HERB
Amorpha fruticosa,TRSH
Amphitrema,RHIZ
Anphitrema,RHIZ
Ditrema,RHIZ
Amphitrema flavum,RHIZ
Anabaena,NOPO
Anabaena,CYAN
Anacardiaceae,TRSH
Anagallis,HERB
Anagallis arvensis,HERB
Anagallis arvensis type,HERB
Anagallis arvensis-type,HERB
Anagallis tenella,HERB
Anagallis tenella type,HERB
Anagallis type,HERB
Lysimachia,HERB
Lysimachia-type,HERB
Naumburgia,HERB
Analysed lines,NOPO
Anchusa,HERB
Anchusa arvensis,HERB
Anchusa officinalis,HERB
Anchusa-type,HERB
Pulmonaria,HERB
Pulmonaria T,HERB
Pulmonaria t.,HERB
Pulmonaria type,HERB
Pulmonaria-group,HERB
Pulmonaria-type,HERB
Andrachne,DWAR
Andrachne telephioides,DWAR
Andromeda,DWAR
Androsace,HERB
Androsace-type,HERB
Androsaceae,HERB
Anemone hortensis,HERB
Anemone,HERB
Anemone nemorosa,HERB
Anemone nemorosa-type,HERB
Anemone nemorosa-type/Hepatica nobilis,HERB
Anemone nemorosa/ranunculoides,HERB
Anemone typ,HERB
Anemone type,HERB
Anemone-type,HERB
Pulsatilla,HERB
Rosa-type,HERB
Anethum,HERB
Anethum graveolens,HERB
Anisosciadium-type,HERB
Anogramma leptophylla,VACR
Antennaria,HERB
Antennaria-type,HERB
Anthericum,HERB
Anthericum-type,HERB
Anthoceros punctatus,BRYO
Anthoceros,BRYO
Anthostomella fuegiana,FUNG
Anthriscus sylvestris,HERB
Anthriscus sylvestris-type,HERB
Anthyllis,HERB
Anuraeopsis fissa,ROTI
Aphanes,HERB
APIACEAE,HERB
Ammi-type,HERB
Angelica,HERB
Angelica tp.,HERB
Angelica-type,HERB
Anthriscus-type,HERB
Apiaceae,HERB
Apiaceae indet.,HERB
Apiaceae small,HERB
Apiaceae types 2&3,HERB
Apiaceae undiff.,HERB
Apiaceae undifferentiated,HERB
"Apiaceae, Astoma",HERB
Apium-type,HERB
Apium/Berula,HERB
Astoma,HERB
Bupleurum t.,HERB
Bupleurum-type,HERB
Cfr Chaerophyllum,HERB
Chaerophyllum,HERB
Chaerophyllum-type,HERB
Conium-type,HERB
Conopodium-type,HERB
Daucaceae,HERB
Daucus type,HERB
Daucus-type,HERB
Echinophora,HERB
Echinophora-type,HERB
Eryngium-type,HERB
Heracleum type,HERB
Heracleum-type,HERB
Laserpitium,HERB
Oenanthe-type,HERB
Torilis,HERB
Torilis-type,HERB
Turgenia-type,HERB
UMBELLIFERAE,HERB
Umbellifera,HERB
Umbelliferae,HERB
Umbelliferae  undiff. type,HERB
Umbelliferae undiff.,HERB
Umbellifereae,HERB
cf Oenanthe,HERB
cf. Heracleum sphondylium,HERB
Apium inundatum type,HERB
Apium inundatum-type,AQUA
Apium inundatum-type,HERB
Aquilegia,HERB
Aquilegia type,HERB
Aquilegia-type,HERB
Araceae,HERB
Aralia,TRSH
Araliaceae,TRSH
ARBUTUS,TRSH
Arbutus,TRSH
Arbutus unedo,TRSH
Arbutus-type,TRSH
Arcella,RHIZ
Arcella C,RHIZ
Arcella sp.,RHIZ
Arcella arenaria,RHIZ
Arcella artocrea,RHIZ
Arcella catinus  type,RHIZ
Arcella discoides,RHIZ
Arcella discoides C,RHIZ
Arcella vulgaris,RHIZ
Arceuthobium,TRSH
Arceuthobium oxycedri,TRSH
cf Arceuthobium,TRSH
Arctium,HERB
Arctostaphylos,DWAR
Arctostaphylos alpinus,DWAR
Arctostaphylos uva-ursi,DWAR
Palmae,TRSH
Arenaria,HERB
Arenaria-type,HERB
Argania spinosa,TRSH
Aristolochia,HERB
Acantholimon,HERB
Armeria,HERB
Armeria maritima,HERB
Armeria maritima subsp. elongata,HERB
Armeria-type,HERB
Armeria-type A+B,HERB
Goniolimon,HERB
Arnebia-type,HERB
ARTEMISIA,HERB
Artemisia,HERB
Artemisia genipii/A. mutellina,HERB
Artemisia herba-alba-type,HERB
Artemisia norvegica,HERB
Artemisia type,HERB
Artemisia undiff.,HERB
Artemisia vulgaris-type,HERB
Artemisia-type,HERB
MYCOPHYTA,HERB
Aruncus T,HERB
Aruncus t.,HERB
Aruncus-type,HERB
Spiraea,HERB
Spirea type,HERB
Ascodemis type UG 1285,FUNG
Ascospores undiff.,FUNG
Asparagus,HERB
Asparagus t.,HERB
Asparagus-type,HERB
Asphodeline,HERB
Asphodelus,HERB
Asphodelus albus,HERB
Asphodelus albus t.,HERB
Asphodelus albus-type,HERB
Asphodelus fistulosus-type,HERB
Asphodelus-type,HERB
Asplenium ceterach type,VACR
ASPLENIUM,VACR
Asplenium,VACR
Asplenium scolopendrium,VACR
Asplenium trichomanes-ramosum,VACR
Asplenium type,VACR
Asplenium viride,VACR
Asplenium-type,VACR
Assulina,RHIZ
Assulina muscorum,RHIZ
Type 32 A: Assulina muscorum,RHIZ
Assulina seminulum,RHIZ
Aster,HERB
Aster  type,HERB
Aster bellidiastrum,HERB
Aster type,HERB
Aster-type,HERB
Asteraceae aster type,HERB
Bellis,HERB
Bellis-type,HERB
Eupatorium,HERB
Eupatorium cannabinum T,HERB
Eupatorium cannabinum-type,HERB
Eupatorium-type,HERB
Solidago,HERB
Solidago virgaurea-type,HERB
Asteraceae,HERB
Asteraceae (C/A),HERB
Asteraceae clumps,HERB
Asteraceae undiff.,HERB
Asteraceae undiff. type,HERB
Asteraceae undifferentiated,HERB
Asteraceae(equinulada),HERB
"Asteraceae, HS",HERB
"Asteraceae, Ptilostemon",HERB
"Asteraceae, low spine",HERB
C. Asteraceae,HERB
Cardueae/Asteroideae,HERB
Carduoideae,HERB
Cirsium/Gundelia,HERB
Compo.,HERB
Compositae,HERB
Compositae (echinate),HERB
Compositae (fenestrate),HERB
Compositae undif.,HERB
Compositae undiff.,HERB
Fenestrate undifferentiated,HERB
A. tubuliflorae,HERB
ASTERACEAE aster.,HERB
ASTERACEAE tub.,HERB
ASTEROIDEAE,HERB
Achillea /Eupatorium tp.,HERB
Achillea/Aster,HERB
Achillea/Aster-type,HERB
Ast. tubulifl.,HERB
Ast. tubuliflorae,HERB
Aster. tubuliflorae,HERB
Aster/Achillea,HERB
Asteraceae (Asteroid./Card.),HERB
Asteraceae (Tubuliflorae),HERB
Asteraceae Tubuliflorae,HERB
Asteraceae subf. Asteroideae,HERB
Asteraceae subf. Asteroideae undiff.,HERB
Asteraceae tubul.,HERB
Asteraceae tubuliflorae,HERB
Asteraceae/Asteroideae,HERB
AsteraceaeAste,HERB
Asteroideae,HERB
Asteroideae pro parte,HERB
Asteroideae undiff.,HERB
Compositae Subfam. Asteroideae,HERB
Compositae subf. Asteroideae,HERB
Compositae subf. Asteroideae undiff.,HERB
Compositae tubuliflorae,HERB
Serratula type,HERB
Tubuliflorae,HERB
ASTERACEAE cichor.,HERB
CARDUUS type,HERB
Carduaceae,HERB
Cardueae,HERB
Carduoideae,HERB
Cirsium typ,HERB
Cirsium type,HERB
Cirsium-type,HERB
Cirsium/Carduus,HERB
Cirsium/Carduus-type,HERB
ASTERACEAE lig.,HERB
Ast. liguliflorae,HERB
Aster. liguliflorae,HERB
Asteraceae (Lactuc.),HERB
Asteraceae (Liguliflorae),HERB
Asteraceae (liguliflorae),HERB
Asteraceae Cichorioideae,HERB
Asteraceae Liguliflorae,HERB
Asteraceae ligulifl.,HERB
Asteraceae liguliflorae,HERB
Asteraceae subf. Cichorioideae,HERB
Asteraceae subf. Cichorioideae undiff.,HERB
Asteraceae subfam. Cichorioideae,HERB
Asteraceae subfam. Cichorioideae undifferentiated,HERB
Asteraceae/Cichorioideae,HERB
AsteraceaeCich,HERB
C. Cichoriaceae,HERB
CICHORIOIDEAE,HERB
COMP. LIGULIFLORAE,HERB
Cichor-eae,HERB
Cichoreaceae,HERB
Cichoriaceae,HERB
Cichorieae,HERB
Cichorieae undiff.,HERB
Cichorioidae,HERB
Cichorioideae,HERB
Cichorioideae undiff.,HERB
Cichoroideae,HERB
Compositae Liguliflorae,HERB
Compositae Subfam. Cichorioideae,HERB
Compositae subf. Cichorioideae,HERB
Compositae subf. Cichorioideae undiff.,HERB
Lactucae,HERB
Lactuceae,HERB
Lactuceae undiff.,HERB
Lactuceae undiff.  type,HERB
Lactucoideae,HERB
Liguliflorae,HERB
Liguliflorae clumps,HERB
Scorzonera,HERB
Scorzonera type,HERB
Scorzonera-type,HERB
Taraxacum,HERB
cf. Taraxacum,INUN
Asterosporium asterospermum,FUNG
Astragalus,HERB
Astragalus T,HERB
Astragalus alpinus,HERB
Astragalus alpinus-type,HERB
Astragalus type,HERB
Astragalus undiff.,HERB
Astragalus-type,HERB
Astragalus/Oxytropis-type,HERB
Fabaceae astragalus type,HERB
Lotus,HERB
Lotus type,HERB
Lotus-type,HERB
Melilotus,HERB
cf. Astragalus alpinus-type,HERB
Astrantia,HERB
Astrantia type,HERB
Astrantia-type,HERB
Sanicula,HERB
Sanicula-type,HERB
Athamanta cretensis,HERB
Ath._f.-f.,VACR
Athyrium,VACR
Athyrium filix femina,VACR
Athyrium filix-femina,VACR
Atraphaxis,HERB
Atraphaxis,TRSH
Atrichum spores,BRYO
Avena,HERB
Avena T,HERB
Avena sativa,HERB
Avena t.,HERB
Avena type,HERB
Avena-type,HERB
Cerealia,HERB
Setaria,HERB
Avena Triticum group,HERB
Avena-Triticum,HERB
Avena-Triticum group,HERB
Avena/Triticum,HERB
Avena/Triticum group,HERB
Avena/Triticum-group,HERB
Avena/Triticum-type,HERB
Triticum,HERB
Triticum type,HERB
Triticum/Avena-type,HERB
Azolla,VACR
Azolla: massulae,AQPT
Azolla-Salvinia massula,AQPT
Azolla-Salvinia microspore,AQPT
Azolla/Salvinia spore(s),AQPT
Salvinia-Azolla massulae,AQPT
Salvinia/Azolla,AQUA
Salvinia/Azolla: massulae,AQPT
Ballota,HERB
Ballota-group,HERB
Ballota-type,HERB
Balsaminaceae,HERB
BERBERIS,TRSH
Berberis,TRSH
Berberis vulgaris,TRSH
Bergenia crassifolia,HERB
Berula erecta,HELO
Beta type,HERB
Beta-type,HERB
BETULA,TRSH
Betula,TRSH
Betula or Bet.s.Albae,TRSH
Betula sect. Betula,TRSH
Betula tree,TRSH
Betula undiff.,TRSH
Betula undifferentiated,TRSH
Betula-type,TRSH
Betula glandulosa,TRSH
BETULA NANA,DWAR
Bet._nana,DWAR
Betula exilis,DWAR
Betula fruticosa,DWAR
Betula fruticosa,TRSH
Betula humilis,DWAR
Betula nana,DWAR
Betula nana-type,DWAR
Betula nana-type,TRSH
Betula nana=Betula sect. Nanae,DWAR
Betula sect. Fruticosae,DWAR
Betula sect. Fruticosae,TRSH
Betula sect. Nanae,DWAR
Betula sect. Nanae-type,DWAR
Betula sect. Nanae/Fruticosa,DWAR
Betula sect. Nanae/Fruticosae-type,DWAR
Betula (excl. B. nana),TRSH
Betula alba,TRSH
Betula alba-type,TRSH
Betula pendula,TRSH
Betula pendula/pubescens,TRSH
Betula pubescens,TRSH
Betula pubescens-type,TRSH
Betula sect. Albae,TRSH
Betula sect. Albae-type,TRSH
Betula tortuosa,TRSH
Betula sect. Costatae,TRSH
Betula/Corylus,TRSH
Betula/Corylus/Myrica,TRSH
Betula-Tetrade,MACR
Betulaceae,TRSH
Arnica montana,HERB
Bidens,HERB
Bidens-type,HERB
Biebersteinia,UPHE
Bifaria type,INUN
Bitectatodinium tepikiense,DINO
Blechnum,VACR
Blechnum spicant,VACR
BORAGINACEAE,HERB
Boraginaceae,HERB
Boraginaceae indet.,HERB
Boraginaceae undiff.,HERB
Borrag-eae,HERB
Symphytum,HERB
BOTRYCHIUM,VACR
Botrychium,VACR
Botrychium-type,VACR
Botrychium boreale,VACR
Botrychium lunaria,VACR
Botrychium lunaria-type,VACR
Botrychium multifidum,VACR
BOTRYOCOCCACEAE,NOPO
Botryococcaceae,NOPO
Botryoccocus,ALGA
Botryococcus,ALGA
Botryococcus braunii,ALGA
Botryococcus pila,ALGA
"cf. Type 1024_Conidia, Brachysporium",FUNG
Arabidopsis,HERB
BRASSICACEAE,HERB
Barbarea-type,HERB
Brass-eae,HERB
Brassica,HERB
Brassica type,HERB
Brassica-type,HERB
Brassicacaeae,HERB
Brassicaceae,HERB
Brassicaceae Hornungia & Sinapis t.,HERB
Brassicaceae cf. Cardamine,HERB
Brassicaceae clumps,HERB
Brassicaceae undiff.,HERB
Brassicaeae,HERB
CARDAMINE TYPE,HERB
CRUCIFERAE,HERB
Capsella-type,HERB
Cardamine,HERB
Cardamine parviflora,HERB
Cardamine pratensis-type,HERB
Cardamine-type,HERB
Cruciferae,HERB
Cruciferae undiff.,HERB
Cruciferae-type,HERB
Descurainia,HERB
Draba,HERB
Hornungia type,HERB
Rorippa amphibia,AQUA
Sinapis type,HERB
Brigantedinium,DINO
Brigantedinium,ALGA
Bruckenthalia,DWAR
Bryales/Botrychium,VACR
Bryonia,HERB
BRYOPHYTA,BRYO
Bryales,BRYO
Bryales undiff.,BRYO
Bryidae,BRYO
Bryideae,BRYO
Bryophyta,BRYO
Bryophyte spores,BRYO
Bryophytes,BRYO
cf. Bryales,BRYO
Buddleia,TRSH
Lithospermum arvense,HERB
Lithospermum arvense-type,HERB
"Apiaceae, Bupleurum",HERB
BUPLEURUM,HERB
Bupleurum,HERB
Butomaceae,AQUA
Butomus,HELO
Butomus,AQUA
Butomus umbellatus,AQUA
BUXUS,TRSH
Buxus,TRSH
Buxus clumps,TRSH
Buxus clumps of two,TRSH
Buxus sempervirens,TRSH
Byssothecium circinans,FUNG
Calendula,HERB
Calendula-type,HERB
Callidina,ROTI
Callidina angusticollis,ROTI
Habrotrocha,ROTI
Calligonum,TRSH
Pteropyrum,HERB
Callitriche,HERB
Callitriche,AQUA
Callitriche obtusangula,AQUA
CALLUNA,TRSH
CALLUNA VULGARIS,TRSH
Calluna,TRSH
Calluna,DWAR
Calluna vulgaris,TRSH
Calluna vulgaris,DWAR
Calluna vulgaris-type,TRSH
Caltha,AQUA
Caltha,HERB
Caltha palustris,AQUA
Caltha T,HELO
Caltha palustris type,HELO
Caltha palustris-type,AQUA
Caltha palustris-type,HELO
Caltha typ,HELO
Caltha type,HELO
Caltha-type,HELO
Caltha-type,HERB
CALYSTEGIA,HERB
Calystegia,HERB
Calystegia sepium,HERB
Convolvulus sepium,HERB
Convolvulus sepium-type,HERB
Camellia,TRSH
Campanula gieseckiana,HERB
Campanula,HERB
Campanula trachelium T,HERB
Campanula trachelium-type,HERB
CAMPANULACEAE,HERB
Campanulaceae,HERB
Campanulaceae indet.,HERB
Cannabaceae,TRSH
Cannabiaceae,TRSH
Celtis-Aphananthe,TRSH
CANNABACEAE,HERB
URTICACEAE,HERB
Cannabis,HERB
Cannabis sativa,HERB
Capparidaceae,TRSH
Capparis,TRSH
Capparis spinosa,TRSH
Caprifoliaceae,TRSH
Scabiosa/Succisa-type,HERB
Caragana,TRSH
Cardamine type,HERB
"Asteraceae, Carduncellus",HERB
Carduus,HERB
Carduus type,HERB
Carduus,HERB
Carduus t.,HERB
Carduus-type,HERB
CAREX type,HELO
Carex,AQUA
Carex,HELO
Carex hirta-type,AQUA
Carex tp.,HELO
Carex typ,HELO
Carex-type,AQUA
Carex-type,HELO
Carex simbiotic fungi (carex indicator),FUNG
Carlina,HERB
Carpinus,TRSH
CARPINUS,TRSH
CARPINUS BETULUS,TRSH
Carpinus,TRSH
Carpinus bet.,TRSH
Carpinus betulus,TRSH
Carpinus betulus-type,TRSH
Carpinus clumps,TRSH
Carpinus type,TRSH
Carpinus viminalis-type,TRSH
Carpinus-type,TRSH
Carpobrotus,HERB
Asteraceae carthamus,HERB
"Asteraceae, Carthamus",HERB
Carthamus,HERB
Carum carvi,HERB
Carya,TRSH
CARYOPHYLLACEAE,HERB
Cariophyllaceae,HERB
Caryop-eae,HERB
Caryophillaceae,HERB
Caryophylaceae,HERB
Caryophyllaceae,HERB
Caryophyllaceae cf lepyrodialis,HERB
Caryophyllaceae pro parte,HERB
Caryophyllaceae subf. Silenoideae-type,HERB
Caryophyllaceae undiff.,HERB
Caryophyllaceae undiff. type,HERB
Coryophyllaceae,HERB
Sagina,HERB
Silene vulgaris-type,HERB
cf. Lychnis flos-cuculi,HERB
cf. Silene alba,INUN
cf. Stellaria,INUN
Castanea,TRSH
CASTANEA,TRSH
Castanea,TRSH
Castanea clumps,TRSH
Castanea sativa,TRSH
Castanea-type,TRSH
Castenea,TRSH
Casuarina,TRSH
CEDRUS,TRSH
Cedrus,TRSH
Cedrus atlantica,TRSH
Cedrus cf. C. atlantica,TRSH
Cedrus libani,TRSH
Celastraceae,TRSH
CELTIS,TRSH
Celtis,TRSH
"Asteraceae, Centaurea ustulata",HERB
CENTAUREA,HERB
Centaurea,HERB
Centaurea jacea,HERB
Centaurea nigra-type,HERB
Centaurea pro parte,HERB
Centaurea rovinata,HERB
Centaurea sp.,HERB
Centaurea undiff.,HERB
Centaurea undiff. type,HERB
Centaurea undifferentiated,HERB
Centaurea-type,HERB
cf. Centaurea nigra-type,INUN
cf. Centaurea scabiosa-type,INUN
Centaurea alpina-type,HERB
Asteraceae Centaurea cyanus,HERB
Cent._cy-s,HERB
Centaurea cyanus,HERB
Centaurea cyanus  type,HERB
Centaurea cyanus t.,HERB
Centaurea cyanus type,HERB
Centaurea cyanus-type,HERB
Centaurea depressa-type,HERB
Centaurea montana,HERB
Centaurea montana t.,HERB
Centaurea montana-type,HERB
Asteraceae Centaurea sol.,HERB
Centaurea jacea,HERB
Centaurea jacea T,HERB
Centaurea jacea type,HERB
Centaurea jacea-type,HERB
Centaurea nigra,HERB
Centaurea nigra  type,HERB
Centaurea nigra t.,HERB
Centaurea nigra type,HERB
Centaurea nigra-type,HERB
Centaurea rhenana-type,HERB
Centaurea solstitialis,HERB
Centaurea solstitialis-type,HERB
Centaureanigra,HERB
Centaurea collina,HERB
Centaurea collina-type,HERB
Centaurea scabiosa,HERB
Centaurea scabiosa t.,HERB
Centaurea scabiosa-type,HERB
Centaurium,HERB
Centaurium maritimum,HERB
Centaurium pulchellum T,HERB
Centaurium pulchellum-type,HERB
Centaurium-type,HERB
Centranthus,HERB
Centropyxis,NOPO
Centropyxis,ALGA
Centropyxis sp.,ALGA
Centropyxis aculeata,ALGA
Centropyxis platystoma,TEAM
Cephalanthus,TRSH
Isoetes histrix,AQUA
Cerastium,HERB
Cerastium alpinum-type,HERB
Cerastium arvense-type,HERB
Cerastium cerastioides-type,HERB
Cerastium fontanum T,HERB
Cerastium fontanum type,HERB
Cerastium fontanum-type,HERB
Cerastium group,HERB
Cerastium typ,HERB
Cerastium-type,HERB
Cerastium/Stellaria-type,HERB
Stellaria,HERB
Stellaria cf. S. graminea,HERB
Stellaria nemorum,HERB
Stellaria palustris,AQUA
Stellaria-type,HERB
Ceratonia,TRSH
Ceratonia siliqua,TRSH
Ceratophyllum,MACR
Ceratophyllum hair,MACR
Ceratophyllum,AQUA
Ceratophyllum hair,VEMI
Ceratophyllum kolce,VEMI
Ceratophyllum leaf spines,VEMI
Ceratophyllum spines,VEMI
Ceratophyllum spines,MACR
Ceratophyllum: spines,MACR
Ceratophyllum: spines,VEMI
Cercis,TRSH
Cercis siliquastrum,TRSH
Cercophora sp. (Type HdV-112A),FUNG
Cercophora,FUNG
Cercophora-type,FUNG
CEREALIA t.,HERB
Cereal  type,HERB
Cereal type,HERB
Cereale,HERB
Cereales,HERB
Cerealia,HERB
Cerealia (excl. Secale),HERB
Cerealia 40-50µm,HERB
Cerealia >50µm,HERB
Cerealia T,HERB
Cerealia indiff.,HERB
Cerealia p.p.,HERB
Cerealia pro parte,HERB
Cerealia undiff.,HERB
Cerealia undiff. type,HERB
Cerealia undifferentiated,HERB
Cerealia-t.,HERB
Cerealia-type,HERB
Cerealia-type (excl. Secale),HERB
Cerealtype40-60,HERB
Gramineae 40-49 _m,HERB
Gramineae 40-50 _m,HERB
Gramineae 50-60 _m,HERB
Gramineae >42µm,HERB
Gramineae >50 _m,HERB
Gramineae >60 _m,HERB
Gramineae(>40),HERB
Hordeum group,HERB
POACEAE > 45 µm,HERB
Poaceae (> 40 um),HERB
Poaceae (annulus 8-10 um),HERB
Poaceae (annulus >10 um),HERB
Poaceae (annulus >8 um),HERB
Poaceae >40micron (Cereals),HERB
Poaceae >40µm,HERB
Poaceae Cerealia,HERB
Poaceae Pore>8,HERB
Poaceae annulus 8-10µm,HERB
Poaceae annulus >10µm,HERB
Poaceae annulus >8µm,HERB
Poaceae cereal-type,HERB
Poaceae large,HERB
Poaceae undif.>40√¶m,HERB
Poaceae undiff. >40 -_m,HERB
Poaceae>40,HERB
Secale,HERB
Triticum/Hordeum,HERB
cereal type,HERB
Cerinthe,HERB
Cerinthe minor,HERB
Cerinthe-type,HERB
CHAEROPHYLLUM HIRSUTUM,HERB
Chaerophyllum hirsutum T,HERB
Chaerophyllum hirsutum-type,HERB
Chaetomium,FUNG
Chamaerhodos-type,HERB
Chamaerops,TRSH
Chamaerops humilis,TRSH
Burn tissues,CHAR
Charcoal,CHAR
Charcoal,MACR
Holzkohlepartikel,CHAR
Charcoal,CHAR
Charcoal 10-20 _m,CHAR
Charcoal 10-50,CHAR
Conc charcoal 10-50,CHAR
Charcoal 20-30 _m,CHAR
Charcoal 3-10 _m,CHAR
Charcoal 30-40 _m,CHAR
Charcoal 50-125 _m,CHAR
Charcoal 50-125µm,CHAR
Carboni grandi contati,CHAR
Conc charcoal 50-250,CHAR
Concentrazione carbone G (Part/cm3),CHAR
"charcoal <0,025mm",CHAR
Charcoal <40µm,CHAR
Carboni piccoli contati,CHAR
Charcoal <50 -_m,CHAR
Charcoal <50µm,CHAR
Charcoal <50µm concentration,CHAR
Charcoal concentration,CHAR
Concentrazione carbone P (Part/cm3),CHAR
Charcoal >0.1mm,CHAR
Charcoal >100 _m,CHAR
Charcoal >100µm,CHAR
"charcoal >0,100mm",CHAR
Charcoal >10µm,CHAR
Charcoal >125 _m,CHAR
"charcoal >0,025mm",CHAR
Charcoal >40 _m,CHAR
Charcoal >40µm,CHAR
Charcoal >45µm,CHAR
Charcoal >50,CHAR
Charcoal >50µm,CHAR
Charcoal >50µm concentration,CHAR
Charcoal/1000,CHAR
"Asteraceae, Onopordon",HERB
Onopordum-type,HERB
charred material <100 µm,NOPO
charred material >100 µm,NOPO
Charred particles >100 µm,NOPO
Cheilanthes,VACR
Cheilanthes-type,VACR
Chelidonium majus,HERB
Alternanthera,HERB
Amar.-Chenop.,HERB
Amaranthaceae,HERB
Amaranthaceae/Chenopodiaceae,HERB
Amaranthus,HERB
Atriplex nudicaulis,HERB
CHENOPODIACEAE,HERB
CHENOPODIACEAE/AMARANTHACEAE,HERB
Chen-eae,HERB
Chenopo.,HERB
Chenopodiaceae,HERB
Chenopodiaceae Sueda/Atriplex type,HERB
Chenopodiaceae and Amaran.,HERB
Chenopodiaceae and Amaranthaceae,HERB
Chenopodiaceae pro parte,HERB
Chenopodiaceae sensu lato,HERB
Chenopodiaceae undiff.,HERB
"Chenopodiaceae, Noaea type",HERB
"Chenopodiaceae, Salsola type",HERB
Chenopodiaceae-Amaranthaceae,HERB
Chenopodiaceae-type,HERB
Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae/Amaranthaceae undifferentiated,HERB
Chenopodium,HERB
Chenopodium album,HERB
Chenopodium type,HERB
Noaea-type,HERB
Salsola,HERB
Spinacia-type,HERB
Suaeda-type,HERB
Chimaphila umbellata,HERB
Chironomid,NOPO
Chironomidae,INVE
mandibola di chironomide,INVE
Chlorococcales,ALGA
Chosenia,TRSH
Crozophora,HERB
Chrysosplenium,HERB
Chrysosplenium-type,HERB
Cicuta virosa,HERB
Circaea,HERB
Circaea alpina,HERB
Asteraceae Circium type,HERB
Asteraceae cirsium type,HERB
CIRSIUM,HERB
Cirsium,HERB
Cirsium t.,HERB
Cirsium type,HERB
Cirsium-type,HERB
Cistaceae,HERB
Cistaceae undiff.,HERB
Cistus,HERB
Cistus,TRSH
Cistus crispus-type,TRSH
Cistus p.p.,TRSH
Cistus pro parte,TRSH
Cistus t. undiff.,TRSH
Cistus type,TRSH
