taxon_name,eco_group,family_level
Caltha/Isopyrum-type,NA,delete
Calycotome,TRSH,Fabaceae
Calystegia,HERB,Convolvulaceae
Calystegia sepium,HERB,Convolvulaceae
Camelia sinensis?,TRSH,Theaceae
Camellia,TRSH,Theaceae
Campanula,HERB,Campanulaceae
Campanula gieseckiana,HERB,Campanulaceae
Campanula trachelium T,HERB,Campanulaceae
Campanula trachelium-type,HERB,Campanulaceae
Campanula type,HERB,Campanulaceae
Campanula-type,HERB,Campanulaceae
Campanulaceae,HERB,Campanulaceae
Campanulaceae indet.,HERB,Campanulaceae
Canarium,NA,Burseraceae
Cannabaceae,TRSH,Cannabaceae
Cannabaceae,HERB,Cannabaceae
Cannabaceae-type,HERB,Cannabaceae
Cannabiaceae,TRSH,Cannabaceae
Cannabis,HERB,Cannabaceae
Cannabis sativa,HERB,Cannabaceae
Cannabis spp.,NA,Cannabaceae
Cannabis t.,HERB,Cannabaceae
Cannabis type,HERB,Cannabaceae
Cannabis-type,HERB,Cannabaceae
Cannabis-type (Cannabis-T),NA,Cannabaceae
Cannabis/Humulus,HERB,Cannabaceae
Cannabis/Humulus-type,HERB,Cannabaceae
Capparidaceae,TRSH,Capparaceae
Capparis,TRSH,Capparaceae
Capparis spinosa,TRSH,Capparaceae
Caprifoliaceae,TRSH,Caprifoliaceae
Capsella,HERB,Brassicaceae
Capsella bursa-pastoris-type,HERB,Brassicaceae
Capsella-type,HERB,Brassicaceae
Capsicum-type,HERB,Solanaceae
Caragana,TRSH,Fabaceae
Caragana-type (Caragana-T),NA,Fabaceae
Carboni grandi contati,CHAR,delete
Carboni piccoli contati,CHAR,delete
Cardamine,HERB,Brassicaceae
Cardamine parviflora,HERB,Brassicaceae
Cardamine pratensis-type,HERB,Brassicaceae
Cardamine type,HERB,Brassicaceae
Cardamine-type,HERB,Brassicaceae
Cardiaceae,NOPO,delete
Carduaceae,HERB,Asteraceae
Cardueae,HERB,Asteraceae
Cardueae/Asteroideae,HERB,Asteraceae
Carduoideae,HERB,Asteraceae
Carduus,HERB,Asteraceae
Carduus t.,HERB,Asteraceae
Carduus type,HERB,Asteraceae
Carduus-type,HERB,Asteraceae
Carduus/Cirsium-type,NA,Asteraceae
Carex,AQUA,delete
Carex,HELO,delete
Carex hirta-type,AQUA,delete
Carex simbiotic fungi (carex indicator),FUNG,delete
Carex tp.,HELO,delete
Carex typ,HELO,delete
Carex-type,AQUA,delete
Carex-type,HELO,delete
Cariophyllaceae,HERB,Caryophyllaceae
Carlina,HERB,Asteraceae
Carlina-type,HERB,Asteraceae
Carpinus,TRSH,Betulaceae
Carpinus bet.,TRSH,Betulaceae
Carpinus betulus,TRSH,Betulaceae
Carpinus betulus-type,TRSH,Betulaceae
Carpinus clumps,TRSH,Betulaceae
Carpinus orientalis,TRSH,Betulaceae
Carpinus orientalis /Ostrya type,TRSH,Betulaceae
Carpinus orientalis-type,TRSH,Betulaceae
Carpinus orientalis/Ostrya,TRSH,Betulaceae
Carpinus orientalis/Ostrya carpinifolia,TRSH,Betulaceae
Carpinus orientalis/Ostrya carpinifolia-type,TRSH,Betulaceae
Carpinus spp.,NA,Betulaceae
Carpinus type,TRSH,Betulaceae
Carpinus undifferentiated,NA,Betulaceae
Carpinus undifferentiated (Carpinus undiff),NA,Betulaceae
Carpinus viminalis-type,TRSH,Betulaceae
Carpinus viminea-type,NA,Betulaceae
Carpinus viminea-type (C. viminea-T),NA,Betulaceae
Carpinus-Ostrya,TRSH,Betulaceae
Carpinus-type,TRSH,Betulaceae
Carpinus/Ostrya-type,TRSH,Betulaceae
Carpobrotus,HERB,Aizoaceae
Carthamus,HERB,Asteraceae
Carum carvi,HERB,Apiaceae
Carya,TRSH,Juglandaceae
Carya remaniés,INUN,Juglandaceae
Caryo. Trizoncolpate indet.,TRSH,Caryophyllaceae
Caryop-eae,HERB,Caryophyllaceae
Caryophillaceae,HERB,Caryophyllaceae
Caryophylaceae,HERB,Caryophyllaceae
Caryophyllaceae,HERB,Caryophyllaceae
Caryophyllaceae cf lepyrodialis,HERB,Caryophyllaceae
Caryophyllaceae herniaria type,HERB,Caryophyllaceae
Caryophyllaceae pro parte,HERB,Caryophyllaceae
Caryophyllaceae stellaria holostea-type,HERB,Caryophyllaceae
Caryophyllaceae subf. Silenoideae-type,HERB,Caryophyllaceae
Caryophyllaceae undiff.,HERB,Caryophyllaceae
Caryophyllaceae undiff. type,HERB,Caryophyllaceae
Caryophyllaceae undifferentiated,NA,Caryophyllaceae
Caryophyllaceae undifferentiated (Caryophyllaceae undiff),NA,Caryophyllaceae
Cassiope,DWAR,Ericaceae
Cassiope-type,DWAR,Ericaceae
Castanea,TRSH,Fagaceae
Castanea clumps,TRSH,Fagaceae
Castanea sativa,TRSH,Fagaceae
Castanea-Castanopsis,TRSH,Fagaceae
Castanea-type,TRSH,Fagaceae
Castanea-type (Castanea-T),NA,Fagaceae
Castanea/Castanopsis,TRSH,Fagaceae
Castanopsis,NA,Fagaceae
Castanopsis-Castanea,TRSH,Fagaceae
Castanopsis-Pasania,TRSH,Fagaceae
Castenea,TRSH,Fagaceae
Casuarina,TRSH,Casuarinaceae
Cathaya,NA,delete
Cedrus,TRSH,delete
Cedrus atlantica,TRSH,delete
Cedrus cf. C. atlantica,TRSH,delete
Cedrus libani,TRSH,delete
Celastraceae,TRSH,Celastraceae
Celtis,TRSH,Cannabaceae
Celtis-Aphananthe,TRSH,Cannabaceae
Cent._cy-s,HERB,delete
Centaurea,HERB,Asteraceae
Centaurea alpina-type,HERB,Asteraceae
Centaurea collina,HERB,Asteraceae
Centaurea collina-type,HERB,Asteraceae
Centaurea cyanus,HERB,Asteraceae
Centaurea cyanus  type,HERB,Asteraceae
Centaurea cyanus t.,HERB,Asteraceae
Centaurea cyanus type,HERB,Asteraceae
Centaurea cyanus-type,HERB,Asteraceae
Centaurea depressa-type,HERB,Asteraceae
Centaurea jacea,HERB,Asteraceae
Centaurea jacea T,HERB,Asteraceae
Centaurea jacea type,HERB,Asteraceae
Centaurea jacea-type,HERB,Asteraceae
Centaurea montana,HERB,Asteraceae
Centaurea montana t.,HERB,Asteraceae
Centaurea montana-type,HERB,Asteraceae
Centaurea nigra,HERB,Asteraceae
Centaurea nigra  type,HERB,Asteraceae
Centaurea nigra t.,HERB,Asteraceae
Centaurea nigra type,HERB,Asteraceae
Centaurea nigra-type,HERB,Asteraceae
Centaurea pro parte,HERB,Asteraceae
Centaurea rhenana-type,HERB,Asteraceae
Centaurea rovinata,HERB,Asteraceae
Centaurea scabiosa,HERB,Asteraceae
Centaurea scabiosa t.,HERB,Asteraceae
Centaurea scabiosa-type,HERB,Asteraceae
Centaurea solstitialis,HERB,Asteraceae
Centaurea solstitialis-type,HERB,Asteraceae
Centaurea sp.,HERB,Asteraceae
Centaurea undiff.,HERB,Asteraceae
Centaurea undiff. type,HERB,Asteraceae
Centaurea undifferentiated,HERB,Asteraceae
Centaurea-type,HERB,Asteraceae
Centaureanigra,HERB,Asteraceae
Centaurium,HERB,Gentianaceae
Centaurium maritimum,HERB,Gentianaceae
Centaurium pulchellum T,HERB,Gentianaceae
Centaurium pulchellum-type,HERB,Gentianaceae
Centaurium-type,HERB,Gentianaceae
Centranthus,HERB,Caprifoliaceae
Centropyxis,NOPO,delete
Centropyxis,ALGA,delete
Centropyxis aculeata,ALGA,delete
Centropyxis platystoma,TEAM,delete
Centropyxis sp.,ALGA,delete
Cephalanthus,TRSH,Rubiaceae
Cerastium,HERB,Caryophyllaceae
Cerastium alpinum-type,HERB,Caryophyllaceae
Cerastium arvense-type,HERB,Caryophyllaceae
Cerastium cerastioides-type,HERB,Caryophyllaceae
Cerastium fontanum T,HERB,Caryophyllaceae
Cerastium fontanum type,HERB,Caryophyllaceae
Cerastium fontanum-type,HERB,Caryophyllaceae
Cerastium group,HERB,Caryophyllaceae
Cerastium typ,HERB,Caryophyllaceae
Cerastium-type,HERB,Caryophyllaceae
Cerastium-type (Cerastium-T),NA,Caryophyllaceae
Cerastium/Stellaria-type,HERB,Caryophyllaceae
Ceratonia,TRSH,Fabaceae
Ceratonia siliqua,TRSH,Fabaceae
Ceratophyllum,MACR,delete
Ceratophyllum,AQUA,delete
Ceratophyllum hair,MACR,delete
Ceratophyllum hair,VEMI,delete
Ceratophyllum kolce,VEMI,delete
Ceratophyllum leaf spines,VEMI,delete
Ceratophyllum spines,VEMI,delete
Ceratophyllum spines,MACR,delete
Ceratophyllum: spines,MACR,delete
Ceratophyllum: spines,VEMI,delete
Ceratostigma,NA,Plumbaginaceae
Cercis,TRSH,Fabaceae
Cercis siliquastrum,TRSH,Fabaceae
Cercophora,FUNG,delete
Cercophora sp. (Type HdV-112A),FUNG,delete
Cercophora-type,FUNG,delete
Cereal  type,HERB,Poaceae
Cereal type,HERB,Poaceae
Cereal-type,NA,Poaceae
Cereale,HERB,Poaceae
Cereales,HERB,Poaceae
Cerealia,HERB,Poaceae
Cerealia (excl. Secale),HERB,Poaceae
Cerealia 40-50µm,HERB,Poaceae
Cerealia >50µm,HERB,Poaceae
Cerealia T,HERB,Poaceae
Cerealia indiff.,HERB,Poaceae
Cerealia p.p.,HERB,Poaceae
Cerealia pro parte,HERB,Poaceae
Cerealia undiff.,HERB,Poaceae
Cerealia undiff. type,HERB,Poaceae
Cerealia undifferentiated,HERB,Poaceae
Cerealia+large Poaceae,NA,Poaceae
Cerealia-t.,HERB,Poaceae
Cerealia-type,HERB,Poaceae
Cerealia-type (excl. Secale),HERB,Poaceae
Cerealia-type/Secale,HERB,Poaceae
Cerealia-type/Triticum,HERB,Poaceae
Cerealia/Hordeum-type,HERB,Poaceae
Cerealia/Secale,HERB,Poaceae
Cerealia/Triticum-type,HERB,Poaceae
Cerealtype40-60,HERB,Poaceae
Cerinthe,HERB,Boraginaceae
Cerinthe minor,HERB,Boraginaceae
Cerinthe-type,HERB,Boraginaceae
Cfr Chaerophyllum,HERB,delete
Cfr Ligustrum,INUN,delete
Cfr Utricularia,INUN,delete
Chaerophyllum,HERB,Apiaceae
Chaerophyllum hirsutum T,HERB,Apiaceae
Chaerophyllum hirsutum-type,HERB,Apiaceae
Chaerophyllum-type,HERB,Apiaceae
Chaetomium,FUNG,delete
Chamaedaphne,DWAR,Ericaceae
Chamaenerion,HERB,Onagraceae
Chamaenerion angustifolium,HERB,Onagraceae
Chamaerhodos-type,HERB,Rosaceae
Chamaerops,TRSH,Arecaceae
Chamaerops humilis,TRSH,Arecaceae
Chamenerion,HERB,Onagraceae
Chamerion angustifolium subsp. Angustifolium,HERB,Onagraceae
Charcoal,CHAR,delete
Charcoal,MACR,delete
Charcoal 10-20 _m,CHAR,delete
Charcoal 10-50,CHAR,delete
Charcoal 20-30 _m,CHAR,delete
Charcoal 3-10 _m,CHAR,delete
Charcoal 30-40 _m,CHAR,delete
Charcoal 50-125 _m,CHAR,delete
Charcoal 50-125µm,CHAR,delete
Charcoal <40µm,CHAR,delete
Charcoal <50 -_m,CHAR,delete
Charcoal <50µm,CHAR,delete
Charcoal <50µm concentration,CHAR,delete
Charcoal >0.1mm,CHAR,delete
Charcoal >100 _m,CHAR,delete
Charcoal >100µm,CHAR,delete
Charcoal >10µm,CHAR,delete
Charcoal >125 _m,CHAR,delete
Charcoal >40 _m,CHAR,delete
Charcoal >40µm,CHAR,delete
Charcoal >45µm,CHAR,delete
Charcoal >50,CHAR,delete
Charcoal >50µm,CHAR,delete
Charcoal >50µm concentration,CHAR,delete
Charcoal concentration,CHAR,delete
Charcoal/1000,CHAR,delete
Charred particles >100 µm,NOPO,delete
Cheilanthes,VACR,delete
Cheilanthes (Cheilanthes),NA,delete
Cheilanthes-type,VACR,delete
Chelidonium majus,HERB,Papaveraceae
Chen-eae,HERB,Amaranthaceae
Chenopo.,HERB,Amaranthaceae
Chenopodiaceae,HERB,Amaranthaceae
Chenopodiaceae Sueda/Atriplex type,HERB,Amaranthaceae
Chenopodiaceae and Amaran.,HERB,Amaranthaceae
Chenopodiaceae and Amaranthaceae,HERB,Amaranthaceae
Chenopodiaceae pro parte,HERB,Amaranthaceae
Chenopodiaceae sensu lato,HERB,Amaranthaceae
Chenopodiaceae undiff.,HERB,Amaranthaceae
"Chenopodiaceae, Noaea type",HERB,Amaranthaceae
"Chenopodiaceae, Salsola type",HERB,Amaranthaceae
Chenopodiaceae-Amaranthaceae,HERB,Amaranthaceae
Chenopodiaceae-type,HERB,Amaranthaceae
Chenopodiaceae/Amaranthaceae,HERB,Amaranthaceae
Chenopodiaceae/Amaranthaceae undifferentiated,HERB,Amaranthaceae
Chenopodium,HERB,Amaranthaceae
Chenopodium album,HERB,Amaranthaceae
Chenopodium type,HERB,Amaranthaceae
Chimaphila umbellata,HERB,Ericaceae
Chironomid,NOPO,delete
Chironomidae,INVE,delete
"Chironomidae, labia/mandibles",NA,delete
"Chironomidae, labia/mandibles (Chironomidae labia/mandibles)",NA,delete
"Chironomidae, larval claws",NA,delete
"Chironomidae, larval claws (Chironomidae larv claw)",NA,delete
Chitinous claws,NA,delete
Chitinous comb,NA,delete
Chitinous extremities,NA,delete
Chitinous fragments,NA,delete
Chitinous hairs,NA,delete
Chitinous spine (Chitinous spine),NA,delete
Chitinous spines/claws,NA,delete
Chloranthus,NA,delete
Chlorococcales,ALGA,delete
Chosenia,TRSH,Salicaceae
Chrysanthemum alpinum,HERB,Asteraceae
Chrysosplenium,HERB,Saxifragaceae
Chrysosplenium-type,HERB,Saxifragaceae
Cichor-eae,HERB,Asteraceae
Cichoreaceae,HERB,Asteraceae
Cichoriaceae,HERB,Asteraceae
Cichorieae,HERB,Asteraceae
Cichorieae undiff.,HERB,Asteraceae
Cichorioidae,HERB,Asteraceae
Cichorioideae,HERB,Asteraceae
Cichorioideae undiff.,HERB,Asteraceae
Cichorioideae undifferentiated,NA,Asteraceae
Cichorium,HERB,Asteraceae
Cichorium intybus type,HERB,Asteraceae
Cichorium intybus-type,HERB,Asteraceae
Cichorium-type,HERB,Asteraceae
Cichoroideae,HERB,Asteraceae
Cicuta virosa,HERB,Apiaceae
Cimicifuga,HERB,Ranunculaceae
Cimicifuga foetida,HERB,Ranunculaceae
Circaea,HERB,Onagraceae
Circaea alpina,HERB,Onagraceae
Cirsium,HERB,Asteraceae
Cirsium t.,HERB,Asteraceae
Cirsium typ,HERB,Asteraceae
Cirsium type,HERB,Asteraceae
Cirsium-type,HERB,Asteraceae
Cirsium/Carduus,HERB,Asteraceae
Cirsium/Carduus-type,HERB,Asteraceae
Cirsium/Gundelia,HERB,Asteraceae
Cistaceae,HERB,Cistaceae
Cistaceae undiff.,HERB,Cistaceae
Cistus,HERB,Cistaceae
Cistus,TRSH,Cistaceae
Cistus albidus-type,TRSH,Cistaceae
Cistus albidus-type,HERB,Cistaceae
Cistus crispus-type,TRSH,Cistaceae
Cistus incanus type,TRSH,Cistaceae
Cistus incanus-type,HERB,Cistaceae
Cistus ladanifer,TRSH,Cistaceae
Cistus ladanifer,HERB,Cistaceae
Cistus ladanifer-type,HERB,Cistaceae
Cistus ladanifer-type,TRSH,Cistaceae
Cistus ladanifer/populifolius types,TRSH,Cistaceae
Cistus monspeliensis,TRSH,Cistaceae
Cistus monspeliensis,HERB,Cistaceae
Cistus monspeliensis t.,TRSH,Cistaceae
Cistus monspeliensis type,TRSH,Cistaceae
Cistus monspeliensis-type,HERB,Cistaceae
Cistus p.p.,TRSH,Cistaceae
Cistus populifolius-type,HERB,Cistaceae
Cistus pro parte,TRSH,Cistaceae
Cistus salvifolius,TRSH,Cistaceae
Cistus salvifolius,HERB,Cistaceae
Cistus salviifolius-type,TRSH,Cistaceae
Cistus t. undiff.,TRSH,Cistaceae
Cistus type,TRSH,Cistaceae
Cistus undiff.,HERB,Cistaceae
Cistus villosus-type,HERB,Cistaceae
Cistus-type,TRSH,Cistaceae
Cistus-type,HERB,Cistaceae
Cistus-type undiff.,TRSH,Cistaceae
Citrus,TRSH,Rutaceae
Citrus cf.,INUN,Rutaceae
Cladium,AQUA,delete
Cladium cf,AQUA,delete
Cladium mariscus,AQUA,delete
Cladocera,MICR,delete
Clathrulina elegans,RHIZ,delete
Claytonia,HERB,Montiaceae
Claytonia acutifolia,HERB,Montiaceae
Claytonia undiff.,HERB,Montiaceae
Clematis,TRSH,Ranunculaceae
Clematis vitalba-group,TRSH,Ranunculaceae
Clematis-group,TRSH,Ranunculaceae
Clematis-type,TRSH,Ranunculaceae
Clematis/Anemone-type,NA,Ranunculaceae
Clethra,TRSH,Clethraceae
Clethra-type,NA,Clethraceae
Closterium,NOPO,delete
Coelastrum,ALGA,delete
Coelastrum reticulatum,CHLO,delete
Coelastrum reticulatum,ALGA,delete
Colchicum,HERB,Colchicaceae
Colchicum autumnale-type,HERB,Colchicaceae
Colchicum-type,HERB,Colchicaceae
Colchicum/Merendera,HERB,Colchicaceae
Colutea,TRSH,Fabaceae
Colutea arborescens,TRSH,Fabaceae
Comandra elegans,HERB,Santalaceae
Comar._pal.,HERB,delete
Comarum palustre,AQUA,delete
Comarum palustre,HERB,delete
Combretaceae,NA,Combretaceae
Commelinaceae,NA,Commelinaceae
Compo.,HERB,Asteraceae
Compositae,HERB,Asteraceae
Compositae (echinate),HERB,Asteraceae
Compositae (fenestrate),HERB,Asteraceae
Compositae Liguliflorae,HERB,Asteraceae
Compositae Subfam. Asteroideae,HERB,Asteraceae
Compositae Subfam. Cichorioideae,HERB,Asteraceae
Compositae subf. Asteroideae,HERB,Asteraceae
Compositae subf. Asteroideae undiff.,HERB,Asteraceae
Compositae subf. Cichorioideae,HERB,Asteraceae
Compositae subf. Cichorioideae undiff.,HERB,Asteraceae
Compositae tubuliflorae,HERB,Asteraceae
Compositae undif.,HERB,Asteraceae
Compositae undiff.,HERB,Asteraceae
Conc charcoal 10-50,CHAR,delete
Conc charcoal 50-250,CHAR,delete
Concentration,NOPO,delete
Concentration charcoal,CHAR,delete
Concentration of Lycopodium,NOPO,delete
Concentration of spike,NOPO,delete
Concentration pollen,NOPO,delete
Concentration spikes,NOPO,delete
Concentrazione carbone G (Part/cm3),CHAR,delete
Concentrazione carbone P (Part/cm3),CHAR,delete
Concentrazione carbone tot (Part/cm3),CHAR,delete
Concentrazione pollinica (gran/cm3),NOPO,delete
Concentricystes,NOPO,delete
Coniferous wood fragment hyaline with torus-margin pits,NA,delete
Coniferous wood fragment with torus-margin pits,NA,delete
Coniferous wood fragment with torus-margin pits (conif wood fragm with torus-margin pits),NA,delete
Coniochaeta cf. C. ligniairia,FUNG,delete
Coniochaeta cf. C. ligniaria,FUNG,delete
Coniochaeta lignaria,FUNG,delete
Conium maculatum,HERB,Apiaceae
Conium t.,HERB,Apiaceae
Conium-type,HERB,Apiaceae
Conopodium,HERB,Apiaceae
Conopodium majus,HERB,Apiaceae
Conopodium-type,HERB,Apiaceae
Consolida ambigua-type,HERB,Ranunculaceae
Consolida-type,HERB,Ranunculaceae
Conv._ar-s,HERB,delete
Convallaria-type,HERB,Asparagaceae
Convol-eae,HERB,Convolvulaceae
Convolvulaceae,HERB,Convolvulaceae
Convolvulaceae undiff.,HERB,Convolvulaceae
Convolvulus,HERB,Convolvulaceae
Convolvulus arvensis,HERB,Convolvulaceae
Convolvulus arvensis-type,HERB,Convolvulaceae
Convolvulus sepium,HERB,Convolvulaceae
Convolvulus sepium-type,HERB,Convolvulaceae
Convolvulus sp.,HERB,Convolvulaceae
Convolvulus-type,NA,Convolvulaceae
Copepoda,MICR,delete
Core section label (Sec label),NA,delete
Corema album-type,HERB,Ericaceae
Coriaria,TRSH,Coriariaceae
Coriaria myrtifolia,TRSH,Coriariaceae
Cornaceae,TRSH,Cornaceae
Cornus,TRSH,Cornaceae
Cornus mas,TRSH,Cornaceae
Cornus mas/C. suecica,TRSH,Cornaceae
Cornus sanguinea,TRSH,Cornaceae
Cornus sanguinea cf.,INUN,Cornaceae
Cornus sanquinea,TRSH,Cornaceae
Cornus sericea subsp. sericea,TRSH,Cornaceae
Cornus suecica,TRSH,Cornaceae
Cornus suecica type,TRSH,Cornaceae
Cornus suecica/C. mas,TRSH,Cornaceae
Cornus-type,TRSH,Cornaceae
Coronilla,HERB,Fabaceae
Corrigiola,HERB,Caryophyllaceae
Corroded,INUN,delete
Corydalis,HERB,Papaveraceae
Corydalis bracteata,HERB,Papaveraceae
Coryloid,TRSH,Euphorbiaceae
Coryloid-type,TRSH,Euphorbiaceae
Corylopsis,TRSH,Hamamelidaceae
Corylus,TRSH,Betulaceae
Corylus (Corylus),NA,Betulaceae
Corylus avellana,TRSH,Betulaceae
Corylus avellana-type,TRSH,Betulaceae
Corylus maxima,TRSH,Betulaceae
Corylus spp.,NA,Betulaceae
Corylus type,TRSH,Betulaceae
Corylus-type,TRSH,Betulaceae
Corylus/Myrica,TRSH,Betulaceae
Coryophyllaceae,HERB,Coryophyllaceae
Cosmarium,ALGA,NA
Cotinus,TRSH,delete
Cotinus coggyria,TRSH,Anacardiaceae
Cotinus-type,TRSH,Anacardiaceae
Cotoneaster,TRSH,Rosaceae
Cotoneaster-type,TRSH,Rosaceae
Cotynus coggyria,TRSH,Anacardiaceae
Counted exote,NOPO,delete
Cousinia,HERB,Asteraceae
Cousinia t.,HERB,Asteraceae
Crassula,HERB,Crassulaceae
Crassulaceae,HERB,Crassulaceae
Crassulaceae undiff.,HERB,Crassulaceae
Crataegus,TRSH,Rosaceae
Crataegus t.,TRSH,Rosaceae
Crataegus-type,TRSH,Rosaceae
Crategus,TRSH,Rosaceae
Crepis,HERB,Asteraceae
Crepis aurea,HERB,Asteraceae
Crepis-type,HERB,Asteraceae
Crocus,HERB,Iridaceae
Crozophora,HERB,Euphorbiaceae
Cruciferae,HERB,Brassicaceae
Cruciferae undiff.,HERB,Brassicaceae
Cruciferae-type,HERB,Brassicaceae
Crypteronia,NA,Crypteroniaceae
Cryptogramma,VACR,delete
Cryptogramma crispa,VACR,delete
Cryptogramma-type,NA,delete
Cryptomeria,TRSH,delete
Cryptomeria japonica,TRSH,delete
Cryptomeria-type,TRSH,delete
Cucumis,HERB,Cucurbitaceae
Cucumis,LIAN,Cucurbitaceae
Cucurbitaceae,HERB,Cucurbitaceae
Cupressaceae,TRSH,delete
Cupressaceae (other),NA,delete
Cupressaceae type,TRSH,delete
Cupressus,TRSH,delete
Cupressus type,TRSH,delete
Cupressus-type,TRSH,delete
Curved parasite,INUN,delete
Cuscuta,LIAN,Convolvulaceae
Cuscuta,HERB,Convolvulaceae
Cuscuta europaea T,HERB,Convolvulaceae
Cuscuta europaea-type,HERB,Convolvulaceae
Cuscuta europaea-type,LIAN,Convolvulaceae
Cycas,NA,delete
Cyclamen,HERB,Primulaceae
Cyclamen hederifolium,HERB,Primulaceae
Cyclobalanopsis,TRSH,Fagaceae
Cyclocarya,NA,Juglandaceae
Cyclopyxis sp.,NOPO,delete
Cymatiosphaera globulosa,ACRI,delete
Cynoglossum creticum,HERB,Boraginaceae
Cynoglossum tp.,HERB,Boraginaceae
Cynomorium,HERB,Cynomoriaceae
Cyperaceae,HERB,Cyperaceae
Cyperaceae,AQUA,Cyperaceae
Cyperaceae class 1,HERB,Cyperaceae
Cyperaceae class 2,HERB,Cyperaceae
Cyperaceae class 3,HERB,Cyperaceae
Cyperaceae class 4,HERB,Cyperaceae
Cyperaceae undiff,HERB,Cyperaceae
Cyperaceae undiff.,HERB,Cyperaceae
Cyperaceae undiff.,AQUA,Cyperaceae
Cyperaceae undifferentiated,NA,Cyperaceae
Cyperus,HELO,delete
Cyperus,AQUA,delete
Cyperus longus-type,AQUA,delete
Cyperus-type,AQUA,delete
Cyphoderia-type,NA,delete
Cysto._f-s,VACR,delete
Cystopteris,VACR,delete
Cystopteris fragilis,VACR,delete
Cystopteris fragilis-type,NA,delete
Cystopteris-type,VACR,delete
Cysts (Cysts),NA,delete
Cytinus hypocistis-type,HERB,Cytinaceae
Cytisus,TRSH,Fabaceae
Cytisus type,TRSH,Fabaceae
Cytisus-type,TRSH,Fabaceae
Cytisus/Genista-type,HERB,Fabaceae
Cytisus/Genista-type,TRSH,Fabaceae
"DEPTH, sediment/rock [m] (Depth)",NA,delete
DIPSACACEAE,HERB,Caprifoliaceae
DRYOPTERIS,VACR,delete
Dacrydium,NA,delete
Damaged/indeterminable,INUN,delete
Daphne,TRSH,Thymelaeaceae
Daphne,DWAR,Thymelaeaceae
Daphne gnidium,HERB,Thymelaeaceae
Daphne gnidium t.,TRSH,Thymelaeaceae
Daphne gnidium-type,DWAR,Thymelaeaceae
Daphne type,TRSH,Thymelaeaceae
Daphniphyllum,NA,Daphniphyllaceae
Date/Time of event (Date/Time),NA,delete
Datisca,HERB,Datiscaceae
Datura,HERB,Solanaceae
Daucaceae,HERB,Apiaceae
Daucus,HERB,Apiaceae
Daucus carota,HERB,Apiaceae
Daucus carota-type,HERB,Apiaceae
Daucus t.,HERB,Apiaceae
Daucus type,HERB,Apiaceae
Daucus-type,HERB,Apiaceae
Davallia,VACR,delete
Debarya,FUNG,delete
Debarya (Debarya),NA,delete
Deciduous tree: seed,MACR,delete
Degraded,INUN,delete
Delitschia,FUNG,delete
Delphinium,HERB,Ranunculaceae
Delphinium-type,HERB,Ranunculaceae
Delphiunium elatum,HERB,Ranunculaceae
Deposition time (yr/cm),NOPO,delete
"Depth, bottom/max [m] (Depth bot)",NA,delete
"Depth, composite [mcd] (Depth comp)",NA,delete
"Depth, top/min [m] (Depth top)",NA,delete
Deschampsia,HERB,Poaceae
Descurainia,HERB,Brassicaceae
Desmidiaceae,ALGA,delete
Dianthus,HERB,Caryophyllaceae
Dianthus superbus-type,HERB,Caryophyllaceae
Dianthus-type,HERB,Caryophyllaceae
Diatoms,ALGA,delete
Dicranum,BRYO,delete
Difflugia pyriformis,RHIZ,delete
Digitalis,HERB,Plantaginaceae
Digitalis purpurea-type,HERB,Plantaginaceae
Digitalis-type,HERB,Plantaginaceae
Dinoflagellate (theca),DINO,delete
Dinoflagellates,DINO,delete
Diospyros,TRSH,Ebenaceae
Diospyros clumps,TRSH,Ebenaceae
Diphasiastrum,VACR,delete
Diphasiastrum alpinum,VACR,delete
Diphasiastrum complanatum,VACR,delete
Diphasium,VACR,delete
Diphasium alpinum,VACR,delete
Diphasium alpinum T,VACR,delete
Diphasium alpinum-type,VACR,delete
Diphasium complanatum,VACR,delete
Diphasium sp.,VACR,delete
Diphasium tristachyum,VACR,delete
Diphasium-type,VACR,delete
Diporotheca,FUNG,delete
Dipsacaceae,HERB,Caprifoliaceae
Dipsacaceae indet.,HERB,Caprifoliaceae
Dipsacaceae undiff.,HERB,Caprifoliaceae
Dipsacus,HERB,Caprifoliaceae
Dipsacus fullonum-type,HERB,Caprifoliaceae
Dipsacus-type,HERB,Caprifoliaceae
Dipterocarpaceae,NA,Dipterocarpaceae
Ditrema,RHIZ,delete
Dolichos-type,NA,Fabaceae
Doronicum,HERB,Asteraceae
Doronicum-type,HERB,Asteraceae
Draba,HERB,Brassicaceae
Drosera,AQUA,delete
Drosera,HERB,delete
Drosera cf. D. rotundifolia,HERB,delete
Drosera intermedia,HELO,delete
Drosera rotundifolia,HERB,delete
Drosera rotundifolia,HELO,delete
Drosera rotundifolia-type,HERB,delete
Drosera rotundifolia-type,HELO,delete
Drosera rotundifolia/D. anglica,HERB,delete
Drosera undif.,AQUA,delete
Droseraceae,AQUA,delete
Dry-s,VACR,delete
Dry-s_c-a,VACR,delete
Dry-s_f.-m,VACR,delete
Dry-s_ph-s,VACR,delete
Dry-s_sp-a,VACR,delete
Dry-s_th-s,VACR,delete
Dryas,HERB,Rosaceae
Dryas octopetala,HERB,Rosaceae
Dryopteridaceae,NA,delete
Dryopteris,VACR,delete
Dryopteris carthusiana,VACR,delete
Dryopteris carthusiana-type,VACR,delete
Dryopteris cristata,VACR,delete
